Name,Type,County,Population2010,LandArea_SqMi,km2,Incorporated,Unknown
Farmington,,Calaveras,,,,,
Glencoe,,Calaveras,,,,,
Hathaway Pines,,Calaveras,,,,,
Mokelumne Hill,,Calaveras,,,,,
Mountain Ranch,,Calaveras,,,,,
Murphys,,Calaveras,,,,,
Rail Road Flat,,Calaveras,,,,,
San Andreas,,Calaveras,,,,,
Sheep Ranch,,Calaveras,,,,,
Vallecito,,Calaveras,,,,,
Valley Springs,,Calaveras,,,,,
Wallace,,Calaveras,,,,,
West Point,,Calaveras,,,,,
Wilseyville,,Calaveras,,,,,
Arbuckle,,Colusa,,,,,
College City,,Colusa,,,,,
Grimes,,Colusa,,,,,
Maxwell,,Colusa,,,,,
Stonyford,,Colusa,,,,,
Alamo,,Contra Costa,,,,,
Bay Point,,Contra Costa,,,,,
Bethel Island,,Contra Costa,,,,,
Bryon,,Contra Costa,,,,,
Canyon,,Contra Costa,,,,,
Crockett,,Contra Costa,,,,,
Diablo,,Contra Costa,,,,,
Discovery Bay,,Contra Costa,,,,,
El sobrante,,Contra Costa,,,,,
Knightsen,,Contra Costa,,,,,
Pacheco,,Contra Costa,,,,,
Port Costa,,Contra Costa,,,,,
Rodeo,,Contra Costa,,,,,
Cameron Pak,,El Dorado,,,,,
Camino,,El Dorado,,,,,
Coloma,,El Dorado,,,,,
Cool,,El Dorado,,,,,
Diamond Springs,,El Dorado,,,,,
Echo Lake,,El Dorado,,,,,
El Dorado,,El Dorado,,,,,
El Dorado Hills,,El Dorado,,,,,
Fair Play,,El Dorado,,,,,
Garden Valley,,El Dorado,,,,,
Georgetown,,El Dorado,,,,,
Greenwood,,El Dorado,,,,,
Grizzly Flats,,El Dorado,,,,,
Kelsey,,El Dorado,,,,,
Kyburz,,El Dorado,,,,,
Latrobe,,El Dorado,,,,,
Lotus,,El Dorado,,,,,
Mount Aukum,,El Dorado,,,,,
Pacific House,,El Dorado,,,,,
Pilot Hill,,El Dorado,,,,,
Pollock Pines,,El Dorado,,,,,
Rescue,,El Dorado,,,,,
Shingle Springs,,El Dorado,,,,,
Somerset,,El Dorado,,,,,
Twin Bridges,,El Dorado,,,,,
Auberry,,Fresno,,,,,
Big creek,,Fresno,,,,,
Blola,,Fresno,,,,,
Burrel,,Fresno,,,,,
Cantua Creek,,Fresno,,,,,
Caruthers,,Fresno,,,,,
Del Rey,,Fresno,,,,,
Dunlap,,Fresno,,,,,
Five points,,Fresno,,,,,
Helm,,Fresno,,,,,
Hume,,Fresno,,,,,
Laton,,Fresno,,,,,
Miramonte,,Fresno,,,,,
Piedra,,Fresno,,,,,
Prather,,Fresno,,,,,
Raisin City,,Fresno,,,,,
Riverdale,,Fresno,,,,,
Shaver Lake,,Fresno,,,,,
Squaw Valley,,Fresno,,,,,
Tollhouse,,Fresno,,,,,
Tranquillity,,Fresno,,,,,
Artois,,Glenn,,,,,
Butte City,,Glenn,,,,,
Elk Creek,,Glenn,,,,,
Glenn,,Glenn,,,,,
Hamilton City,,Glenn,,,,,
Princeton,,Glenn,,,,,
Alderpoint,,Humboldt,,,,,
Bayside,,Humboldt,,,,,
Blocksburg,,Humboldt,,,,,
Bridgeville,,Humboldt,,,,,
Carlotta,,Humboldt,,,,,
Cutten,,Humboldt,,,,,
Fields Landing,,Humboldt,,,,,
Garberville,,Humboldt,,,,,
Honeydew,,Humboldt,,,,,
Hoopa,,Humboldt,,,,,
Hydesville,,Humboldt,,,,,
Kneeland,,Humboldt,,,,,
Korbel,,Humboldt,,,,,
Loleta,,Humboldt,,,,,
Mckineyville,,Humboldt,,,,,
Miranda,,Humboldt,,,,,
Myers Flat,,Humboldt,,,,,
Orick,,Humboldt,,,,,
Orleans,,Humboldt,,,,,
Petrolia,,Humboldt,,,,,
Phillpsville,,Humboldt,,,,,
Redcrest,,Humboldt,,,,,
Redway,,Humboldt,,,,,
Ruth,,Humboldt,,,,,
Salyer,,Humboldt,,,,,
Samoa,,Humboldt,,,,,
Scotia,,Humboldt,,,,,
Weott,,Humboldt,,,,,
Whitethorn,,Humboldt,,,,,
Willow Creek,,Humboldt,,,,,
Boron,,Kern,,,,,
Edwards,,Kern,,,,,
Fellows,,Kern,,,,,
Inyokern,,Kern,,,,,
Mojave,,Kern,,,,,
Kettleman City,,Kings,,,,,
Clearlake Oaks,,Lake,,,,,
Clearlake Park,,Lake,,,,,
Cobb,,Lake,,,,,
Finley,,Lake,,,,,
Glenhaven,,Lake,,,,,
Hidden Valley Lake,,Lake,,,,,
Kelseyville,,Lake,,,,,
Loch Lomond,,Lake,,,,,
Lower Lake,,Lake,,,,,
Lucerne,,Lake,,,,,
Middletown,,Lake,,,,,
Nice,,Lake,,,,,
Upeer Lake,,Lake,,,,,
Witter Springs,,Lake,,,,,
Anwahnee,,Madera,,,,,
Bass Lake,,Madera,,,,,
Berenda,,Madera,,,,,
Coarsegold,,Madera,,,,,
North Fork,,Madera,,,,,
O Neals,,Madera,,,,,
Oakhurst,,Madera,,,,,
Raymond,,Madera,,,,,
Wishon,,Madera,,,,,
Bolinas,,Marin,,,,,
Dillon Beach,,Marin,,,,,
Forest Knolls,,Marin,,,,,
Greenbrae,,Marin,,,,,
Inverness,,Marin,,,,,
Kentfield,,Marin,,,,,
Lagunitas,,Marin,,,,,
Marshall,,Marin,,,,,
Muir beach,,Marin,,,,,
Nicasio,,Marin,,,,,
Olema,,Marin,,,,,
Point Reyes Station,,Marin,,,,,
San Geronimo,,Marin,,,,,
San Quentin,,Marin,,,,,
Stinson Beach,,Marin,,,,,
Tomales,,Marin,,,,,
Woodacre,,Marin,,,,,
Albion,,Mendocino,,,,,
Boonville,,Mendocino,,,,,
Branscomb,,Mendocino,,,,,
Calpella,,Mendocino,,,,,
Caspar,,Mendocino,,,,,
Comptche,,Mendocino,,,,,
Covelo,,Mendocino,,,,,
Dos Rios,,Mendocino,,,,,
Elk,,Mendocino,,,,,
Gualala,,Mendocino,,,,,
Hopland,,Mendocino,,,,,
Laytonville,,Mendocino,,,,,
Leggett,,Mendocino,,,,,
Little River,,Mendocino,,,,,
Manchester,,Mendocino,,,,,
Mendocino,,Mendocino,,,,,
Navarro,,Mendocino,,,,,
Philo,,Mendocino,,,,,
Piercy,,Mendocino,,,,,
Potter Valley,,Mendocino,,,,,
Redwood Valley,,Mendocino,,,,,
Talmage,,Mendocino,,,,,
Westport,,Mendocino,,,,,
Yorkville,,Mendocino,,,,,
Ballico,,Merced,,,,,
Cressey,,Merced,,,,,
Delhi,,Merced,,,,,
El Nido,,Merced,,,,,
Hilmar,,Merced,,,,,
Le Grand,,Merced,,,,,
Planada,,Merced,,,,,
Santa Nella,,Merced,,,,,
Snelling,,Merced,,,,,
South Dos Palos,,Merced,,,,,
Stevinson,,Merced,,,,,
Winton,,Merced,,,,,
