name,highway,oneway,length,lanes,speed_kph,maxspeed,travel_time,geometry
Sierra Park Drive,residential,False,95.89600000000002,,40.2,,8.6,"LINESTRING (617945.8223378896 4401147.039456631, 617946.3401311403 4401102.196311912, 617946.4049507086 4401097.978640201, 617945.47333664 4401080.534563618, 617943.6470722107 4401059.968246843, 617941.5034663515 4401051.686699059)"
Black Olive Drive,residential,False,251.265,,40.2,,22.5,"LINESTRING (617839.571160509 4401180.044716499, 617835.6979669766 4401169.993666735, 617822.2757973018 4401140.034892832, 617814.1014252817 4401125.477123003, 617800.2069163746 4401103.948474664, 617794.4936153819 4401096.533625628, 617781.3569293532 4401081.455662031, 617768.7722127574 4401069.494682577, 617760.9017005546 4401063.045915632, 617754.3661825991 4401058.949007225, 617737.8477657187 4401052.034529818, 617732.0679616082 4401048.948391879, 617725.164185554 4401046.511121929, 617717.054169995 4401044.499426221, 617710.2139285685 4401043.506371265, 617698.5981106038 4401040.996856106, 617673.0209396438 4401038.051246674, 617657.3149034103 4401034.035855678)"
Black Olive Drive,residential,False,111.49099999999999,,40.2,,10.0,"LINESTRING (617839.571160509 4401180.044716499, 617847.7771188121 4401200.908800057, 617857.055165709 4401224.498187541, 617867.5535614849 4401249.527357321, 617871.2877172998 4401257.466958239, 617874.8935721794 4401265.948576733, 617882.1218793809 4401282.945380274)"
Scottwood Road,residential,False,192.727,,40.2,,17.3,"LINESTRING (618064.7953664527 4401150.53410768, 618063.3517198877 4401294.501805737, 618063.5125632077 4401323.035823391, 618062.3502032193 4401342.890105602)"
Scottwood Road,residential,False,102.244,,40.2,,9.2,"LINESTRING (618064.7953664527 4401150.53410768, 618062.4246783017 4401131.957689834, 618059.3198825115 4401099.825828738, 618056.225297719 4401067.028022849, 618056.0241661165 4401048.906852013)"
Roe Road,residential,False,309.92900000000003,,40.2,,27.8,"LINESTRING (616513.787223929 4399664.518140992, 616531.3006698072 4399679.549129061, 616550.6924444542 4399695.052738911, 616572.1021460477 4399707.478574154, 616609.8829156525 4399725.481891454, 616622.9206404698 4399730.453631186, 616630.0661369315 4399734.003686313, 616679.47989606 4399753.516276583, 616691.0760287949 4399757.467077954, 616739.3050617881 4399775.962908768, 616775.5026521541 4399790.945546284, 616792.0313833695 4399797.413896871)"
Roe Road,residential,False,339.289,,40.2,,30.4,"LINESTRING (616513.787223929 4399664.518140992, 616478.7449725454 4399635.455208997, 616469.5932971237 4399628.544373573, 616395.4839511061 4399564.474224874, 616373.892201883 4399547.050410599, 616361.6236326346 4399536.539946537, 616337.8273332282 4399517.528601742, 616326.8927156348 4399509.480769591, 616306.013027338 4399495.953520793, 616295.0312773688 4399491.013481799, 616284.0360667394 4399486.961386327, 616279.6826703296 4399485.785294955, 616273.3667991562 4399484.02440656, 616263.5409827853 4399481.988344022, 616245.8249277826 4399480.276903789, 616236.6661415437 4399479.472154388)"
Roe Road,residential,False,190.396,,40.2,,17.1,"LINESTRING (616792.0313833695 4399797.413896871, 616852.9529388503 4399820.988286286, 616936.3567364508 4399854.008942988, 616951.2723838146 4399859.453926886, 616969.5833315677 4399867.059987954)"
Roe Road,residential,False,309.92900000000003,,40.2,,27.8,"LINESTRING (616792.0313833695 4399797.413896871, 616775.5026521541 4399790.945546284, 616739.3050617881 4399775.962908768, 616691.0760287949 4399757.467077954, 616679.47989606 4399753.516276583, 616630.0661369315 4399734.003686313, 616622.9206404698 4399730.453631186, 616609.8829156525 4399725.481891454, 616572.1021460477 4399707.478574154, 616550.6924444542 4399695.052738911, 616531.3006698072 4399679.549129061, 616513.787223929 4399664.518140992)"
Toyon Lane,residential,False,158.80900000000003,,40.2,,14.2,"LINESTRING (616792.0313833695 4399797.413896871, 616797.3279376503 4399787.28093092, 616803.9942399093 4399771.617970554, 616805.1162960374 4399641.523458601)"
