name,highway,oneway,length,lanes,speed_kph,maxspeed,travel_time,geometry
Pearson Road,tertiary,False,256.808,,56.3,35 mph,16.4,"LINESTRING (-121.589015 39.74858900000001, -121.588532 39.74857799999999, -121.588171 39.74858300000001, -121.587771 39.748583, -121.587523 39.748586, -121.587225 39.74858999999999, -121.586552 39.748586, -121.586409 39.74857999999999, -121.586012 39.74859099999999)"
Pearson Road,tertiary,False,22.502,,56.3,35 mph,1.4,"LINESTRING (-121.586012 39.74859099999999, -121.585749 39.748599)"
Pearson Road,tertiary,False,256.808,,56.3,35 mph,16.4,"LINESTRING (-121.586012 39.74859099999999, -121.586409 39.74857999999999, -121.586552 39.748586, -121.587225 39.74858999999999, -121.587523 39.748586, -121.587771 39.748583, -121.588171 39.74858300000001, -121.588532 39.74857799999999, -121.589015 39.74858900000001)"
Pearson Road,tertiary,False,149.067,,56.3,35 mph,9.5,"LINESTRING (-121.592588 39.748605, -121.592829 39.74864, -121.59295 39.748677, -121.593067 39.748719, -121.593179 39.74877399999999, -121.593284 39.74883899999999, -121.593386 39.748912, -121.593435 39.748964, -121.59352 39.749053, -121.593608 39.749176, -121.593664 39.74928, -121.593693 39.74937499999999, -121.593717 39.74948800000001)"
Pearson Road,tertiary,False,97.756,,56.3,35 mph,6.3,"LINESTRING (-121.592588 39.748605, -121.592098 39.74859, -121.591445 39.74859599999998)"
Pearson Road,tertiary,False,97.756,,56.3,35 mph,6.3,"LINESTRING (-121.591445 39.74859599999998, -121.592098 39.74859, -121.592588 39.748605)"
Pearson Road,tertiary,False,207.781,,56.3,35 mph,13.3,"LINESTRING (-121.591445 39.74859599999998, -121.591233 39.74859800000001, -121.589695 39.748597, -121.589245 39.74859200000001, -121.589143 39.74859499999999, -121.589015 39.74858900000001)"
Pentz Road,tertiary,False,225.017,,56.3,35 mph,14.4,"LINESTRING (-121.57245 39.74875600000001, -121.572456 39.748904, -121.572465 39.74903500000001, -121.57247 39.74932299999999, -121.572467 39.74947200000001, -121.572504 39.75073799999998, -121.572504 39.75077899999999)"
Pentz Road,tertiary,False,115.35199999999999,,56.3,35 mph,7.4,"LINESTRING (-121.57245 39.74875600000001, -121.572418 39.747953, -121.572416 39.747719)"
Middle Libby Road,tertiary,False,21.583,,56.3,35 mph,1.4,"LINESTRING (-121.593717 39.74948800000001, -121.593725 39.749682)"
Pearson Road,tertiary,False,149.06699999999998,,56.3,35 mph,9.5,"LINESTRING (-121.593717 39.74948800000001, -121.593693 39.74937499999999, -121.593664 39.74928, -121.593608 39.749176, -121.59352 39.749053, -121.593435 39.748964, -121.593386 39.748912, -121.593284 39.74883899999999, -121.593179 39.74877399999999, -121.593067 39.748719, -121.59295 39.748677, -121.592829 39.74864, -121.592588 39.748605)"
Middle Libby Road,tertiary,False,21.583,,56.3,35 mph,1.4,"LINESTRING (-121.593725 39.749682, -121.593717 39.74948800000001)"
Middle Libby Road,tertiary,False,67.943,,56.3,35 mph,4.3,"LINESTRING (-121.593725 39.749682, -121.593721 39.74989399999999, -121.59372 39.75029300000001)"
Middle Libby Road,tertiary,False,64.827,,56.3,35 mph,4.1,"LINESTRING (-121.593719 39.750876, -121.59372 39.75029300000001)"
Middle Libby Road,tertiary,False,38.032,,56.3,35 mph,2.4,"LINESTRING (-121.593719 39.750876, -121.593719 39.750984, -121.593724 39.75121800000001)"
Pearson Road,tertiary,False,384.2240000000001,,56.3,35 mph,24.6,"LINESTRING (-121.57658 39.750778, -121.576799 39.750805, -121.576973 39.75078100000001, -121.577072 39.750767, -121.5772 39.75073799999999, -121.577318 39.750685, -121.577532 39.75056099999999, -121.577697 39.750392, -121.577761 39.75031199999999, -121.577812 39.75020399999999, -121.578037 39.749676, -121.578204 39.74938000000001, -121.578335 39.74921100000002, -121.578492 39.74906900000001, -121.578582 39.74899799999999, -121.578675 39.748936, -121.578874 39.74882999999999, -121.578981 39.748786, -121.579201 39.74871700000001, -121.579427 39.748666, -121.579544 39.748649, -121.579606 39.748645)"
Pearson Road,tertiary,False,364.40000000000003,,56.3,35 mph,23.3,"LINESTRING (-121.57658 39.750778, -121.576512 39.75077, -121.576381 39.75073199999999, -121.576258 39.75068499999999, -121.576138 39.750621, -121.576028 39.75055200000001, -121.575937 39.75047, -121.575862 39.750361, -121.575735 39.75012899999999, -121.575194 39.74903299999999, -121.575067 39.748788, -121.575017 39.74866599999999, -121.574957 39.74854799999999, -121.574896 39.748448, -121.574823 39.74835199999999, -121.574749 39.74826600000001, -121.574673 39.74819299999999, -121.574586 39.74812, -121.574494 39.748051)"
Pentz Road,tertiary,False,29.137999999999998,,56.3,35 mph,1.9,"LINESTRING (-121.572504 39.75077899999999, -121.572503 39.75101300000001, -121.572501 39.751041)"
Pentz Road,tertiary,False,225.01699999999997,,56.3,35 mph,14.4,"LINESTRING (-121.572504 39.75077899999999, -121.572504 39.75073799999998, -121.572467 39.74947200000001, -121.57247 39.74932299999999, -121.572465 39.74903500000001, -121.572456 39.748904, -121.57245 39.74875600000001)"
Pentz Road,tertiary,False,292.738,,56.3,35 mph,18.7,"LINESTRING (-121.572501 39.751041, -121.572435 39.752161, -121.572406 39.75285000000001, -121.572386 39.75367200000001)"
Pentz Road,tertiary,False,29.137999999999998,,56.3,35 mph,1.9,"LINESTRING (-121.572501 39.751041, -121.572503 39.75101300000001, -121.572504 39.75077899999999)"
Middle Libby Road,tertiary,False,87.689,,56.3,35 mph,5.6,"LINESTRING (-121.593724 39.75121800000001, -121.593727 39.75139799999999, -121.593767 39.75156999999999, -121.593829 39.75172, -121.593892 39.75181, -121.593964 39.751901, -121.594022 39.751952)"
Middle Libby Road,tertiary,False,38.032,,56.3,35 mph,2.4,"LINESTRING (-121.593724 39.75121800000001, -121.593719 39.750984, -121.593719 39.750876)"
Pearson Road,tertiary,False,124.219,,56.3,35 mph,7.9,"LINESTRING (-121.594022 39.751952, -121.594052 39.751983, -121.594152 39.752057, -121.594264 39.752121, -121.594385 39.75218099999999, -121.594479 39.75221499999999, -121.594514 39.752228, -121.594651 39.752261, -121.594791 39.75228100000001, -121.594929 39.752291, -121.595068 39.75229300000001, -121.595342 39.752287)"
Middle Libby Road,tertiary,False,87.689,,56.3,35 mph,5.6,"LINESTRING (-121.594022 39.751952, -121.593964 39.751901, -121.593892 39.75181, -121.593829 39.75172, -121.593767 39.75156999999999, -121.593727 39.75139799999999, -121.593724 39.75121800000001)"
Pearson Road,tertiary,False,160.672,,56.3,35 mph,10.3,"LINESTRING (-121.607753 39.75225699999999, -121.607592 39.75226399999999, -121.606982 39.75225699999999, -121.606872 39.75226399999999, -121.606631 39.75230199999999, -121.606505 39.75234100000001, -121.606376 39.752389, -121.606107 39.752503, -121.6059615 39.7525635)"
Clark Road,secondary,False,406.438,,56.3,35 mph,26.0,"LINESTRING (-121.607753 39.75225699999999, -121.607768 39.752807, -121.607739 39.75315799999999, -121.607732 39.754081, -121.607719 39.75429699999999, -121.607693 39.75452199999999, -121.607611 39.754949, -121.607402 39.755892)"
Clark Road,secondary,False,408.92699999999996,,64.0,"['35 mph', '45 mph']",23.0,"LINESTRING (-121.607753 39.75225699999999, -121.607749 39.75193699999999, -121.607723 39.751364, -121.6077165 39.7504854, -121.607715 39.75028799999999, -121.607705 39.74991800000001, -121.607705 39.749661, -121.607696 39.74939599999998, -121.607692 39.74858)"
Middle Libby Road,tertiary,False,64.827,,56.3,35 mph,4.1,"LINESTRING (-121.59372 39.75029300000001, -121.593719 39.750876)"
Middle Libby Road,tertiary,False,67.943,,56.3,35 mph,4.3,"LINESTRING (-121.59372 39.75029300000001, -121.593721 39.74989399999999, -121.593725 39.749682)"
Pentz Road,tertiary,False,126.504,,56.3,35 mph,8.1,"LINESTRING (-121.572341 39.75507, -121.572312 39.75569999999999, -121.5723305 39.7559388, -121.5723124 39.7562065)"
Pentz Road,tertiary,False,155.526,,56.3,35 mph,9.9,"LINESTRING (-121.572341 39.75507, -121.572372 39.754602, -121.572379 39.75398, -121.572386 39.75367200000001)"
